run event track particle start_energy_[eV] start_x_[mm] start_y_[mm] start_z_[mm] start_t_[ns] energy_deposit_[eV] track_weight end_x_[mm] end_y_[mm] end_z_[mm] end_t_[ns]
0 0 15 phononTS 0.0033334 -1.47208 1.48771 0.0231916 5435.26 0.0033334 1 35.8861 -0.0646134 -0.5 49331.8
0 0 14 phononL 0.00340056 -1.47208 1.48771 0.0231916 5435.26 0.00340056 1 -35.1902 -1.23619 0.5 27823.7
0 0 17 phononTF 0.00358808 6.27852 0.502715 -0.28919 7524.63 0.00358808 1 25.1011 -1.10717 0.5 31798.6
0 0 21 phononTF 0.00510067 -0.0202291 -0.0561273 0.0898193 72.7031 0.00510067 1 -2.59814 -5.35046 0.5 6943.28
0 0 23 phononTF 0.0035639 -0.773677 3.86078 0.278066 4396.1 0.0035639 1 -2.5465 10.4215 -0.5 7575.86
0 0 22 phononTS 0.00239172 -0.773677 3.86078 0.278066 4396.1 0.00239172 1 2.97248 21.7904 0.5 10700.9
0 0 29 phononL 0.00354004 10.8013 -3.39664 -0.35976 19825.7 0.00354004 1 17.6629 7.54334 -0.5 46081.7
0 0 28 phononTS 0.00134756 10.8013 -3.39664 -0.35976 19825.7 0.00134756 1 -9.60716 -19.4956 0.5 57125.2
0 0 26 phononTS 0.00257909 2.667 1.26564 -0.41726 4606.45 0.00257909 1 4.07878 -16.5389 0.5 14973.7
0 0 30 phononTF 0.00407186 -1.69168 2.2575 0.223568 16456.6 0.00407186 1 5.42663 11.8273 -0.5 25886
0 0 41 phononTS 0.00306805 1.1023 1.15625 0.188581 17665.9 0.00306805 1 -11.9016 -3.41638 0.5 23332.1
0 0 40 phononTS 0.00148341 1.1023 1.15625 0.188581 17665.9 0.00148341 1 6.47902 24.0199 0.5 59627.8
0 0 45 phononL 0.00376155 0.0252939 2.73918 0.16261 1508.01 0.00376155 1 20.1418 24.3722 -0.5 33024.4
0 0 44 phononTF 0.002558 0.0252939 2.73918 0.16261 1508.01 0.002558 1 23.3401 -14.6356 0.5 49812.2
0 0 46 phononTF 0.00281737 0.854135 -4.14143 -0.21807 9642.8 0.00281737 1 -5.10238 7.0777 -0.5 51351.7
0 0 49 phononTS 0.00504209 -2.18582 1.71966 -0.136302 9016.89 0.00504209 1 5.85673 -6.74976 0.5 26110.6
0 0 51 phononL 0.00123859 -35.002 -4.17746 -0.0928115 29831.6 0.00123859 1 -35.4626 1.85501 -0.5 38017.1
0 0 57 phononL 0.00356943 2.59488 1.47196 -0.0274622 4960.38 0.00356943 1 0.0238537 -5.03445 -0.5 13903.5
0 0 56 phononTF 0.0035803 2.59488 1.47196 -0.0274622 4960.38 0.0035803 1 3.64134 -3.68038 0.5 13509.8
0 0 54 phononTF 0.00320146 -0.0539588 0.27993 -0.163371 278.146 0.00320146 1 -8.89022 3.13174 -0.5 7918.1
0 0 59 phononL 0.00619812 -0.0859396 0.120911 0.100233 476.578 0.00619812 1 -3.5383 1.04839 -0.5 2312.1
0 0 73 phononL 0.0029616 2.14896 -0.109933 0.49854 10319.1 0.0029616 1 3.4571 10.6482 -0.5 18262.3
0 0 72 phononTF 0.00328232 2.14896 -0.109933 0.49854 10319.1 0.00328232 1 18.0123 22.3517 0.5 44118.8
0 0 70 phononTF 0.0077712 -0.062101 -0.184067 -0.0263511 595.512 0.0077712 1 3.2165 -1.48273 -0.5 8093.76
0 0 75 phononTF 0.00375409 6.69255 -1.62407 0.218113 35413.3 0.00375409 1 10.9556 -0.642608 -0.5 39958.1
0 0 74 phononTF 0.0028191 6.69255 -1.62407 0.218113 35413.3 0.0028191 1 6.27486 -2.52576 -0.5 35813
0 0 79 phononTF 0.0032944 0.258196 0.189347 -0.37879 3885.74 0.0032944 1 -10.7373 6.20755 -0.5 22607.9
0 0 78 phononTS 0.00351831 0.258196 0.189347 -0.37879 3885.74 0.00351831 1 21.4928 11.5014 -0.5 28541.8
0 0 81 phononTS 0.00408587 -1.93311 -0.158956 -0.000282338 15895.7 0.00408587 1 -6.24789 -2.33935 0.5 22628.4
0 0 80 phononTF 0.00393529 -1.93311 -0.158956 -0.000282338 15895.7 0.00393529 1 -3.13108 10.5917 0.5 28157.5
0 0 83 phononTS 0.00301359 -0.537805 0.404346 0.0919052 3526.12 0.00301359 1 -18.1035 12.3315 0.5 25767.3
0 0 85 phononL 0.00176857 8.29631 -8.46232 0.416459 34848 0.00176857 1 8.25417 -8.44661 0.5 34858.7
0 0 84 phononTF 0.00412018 8.29631 -8.46232 0.416459 34848 0.00412018 1 9.5128 -8.96661 -0.5 36261
0 0 89 phononTF 0.00552941 1.29708 -0.714024 0.296291 1687.63 0.00552941 1 -3.49788 -3.25703 0.5 5799.21
0 0 91 phononL 0.00273141 9.49681 9.54669 0.235932 33173 0.00273141 1 -8.08342 23.2377 0.5 70040.2
0 0 90 phononTF 0.00176164 9.49681 9.54669 0.235932 33173 0.00176164 1 -0.918702 11.8858 -0.5 35020.1
0 0 92 phononTS 0.00727579 -0.160561 0.175198 0.132554 331.972 0.00727579 1 -0.293145 0.113752 0.5 599.394
0 0 107 phononTF 0.00342719 -6.24201 6.21708 -0.13902 10653.2 0.00342719 1 -11.1473 -2.06224 0.5 22836.8
0 0 106 phononTS 0.00159229 -6.24201 6.21708 -0.13902 10653.2 0.00159229 1 -10.1895 4.88834 0.5 12282
0 0 104 phononTS 0.00282022 0.0438603 -0.00518157 0.128281 90.0922 0.00282022 1 1.9224 -20.7283 -0.5 14965.6
0 0 102 phononTS 0.00301182 0.0541964 0.0500258 0.00762843 44.7334 0.00301182 1 -38.2841 4.07204 -0.109614 45407.5
0 0 113 phononL 0.00237309 0.904576 -0.525872 0.0348501 3525.22 0.00237309 1 14.3312 11.1113 0.5 8954.28
0 0 112 phononTS 0.00271834 0.904576 -0.525872 0.0348501 3525.22 0.00271834 1 -9.06653 -12.53 -0.5 22908.6
0 0 108 phononTF 0.00561862 -0.108692 0.0414416 0.0174234 166.224 0.00561862 1 -4.89507 3.55721 -0.5 30664.9
0 0 117 phononTS 0.0056506 -0.0466144 -0.532063 0.0508374 1207.59 0.0056506 1 -1.7517 -0.766995 0.5 5442.77
0 0 116 phononL 0.00484202 -0.0466144 -0.532063 0.0508374 1207.59 0.00484202 1 4.85127 4.88852 0.5 21039.2
0 0 118 phononTS 0.00183801 -2.74656 -1.54095 -0.283168 2180.34 0.00183801 1 18.0081 -30.963 -0.5 26607.7
0 0 127 phononTS 0.00570296 -0.0206966 0.0184919 -0.401918 116.283 0.00570296 1 0.248883 1.85123 -0.5 8901.43
0 0 124 phononTF 0.00171211 -0.0359233 0.0371234 -0.369577 111.854 0.00171211 1 -25.163 8.77317 0.5 41117.8
0 0 129 phononTS 0.0038528 -1.52528 1.93543 -0.308466 11564 0.0038528 1 5.40731 16.7299 0.5 32142.7
0 0 128 phononTS 0.00407465 -1.52528 1.93543 -0.308466 11564 0.00407465 1 -1.57704 -0.0477422 0.5 12592.8
0 0 132 phononTS 0.0054128 -0.153293 0.424933 0.286189 2411.28 0.0054128 1 2.20307 -2.19337 -0.5 10510.7
0 0 145 phononTS 0.00232623 8.40002 -3.44247 -0.290277 29580.3 0.00232623 1 22.8551 -11.1229 -0.5 39807.1
0 0 144 phononTF 0.00338794 8.40002 -3.44247 -0.290277 29580.3 0.00338794 1 6.80113 -5.58275 0.5 34350.9
0 0 147 phononTF 0.00252755 1.66601 0.314638 -0.185947 9260.33 0.00252755 1 20.5727 11.5399 0.5 15555.2
0 0 146 phononL 0.00349042 1.66601 0.314638 -0.185947 9260.33 0.00349042 1 4.61045 5.7856 -0.5 15850.4
0 0 149 phononTF 0.00585901 0.14479 0.115397 -0.22955 355.963 0.00585901 1 -1.1156 3.18871 -0.5 6218.96
0 0 151 phononTS 0.00209253 1.27516 4.22744 0.428649 6701.03 0.00209253 1 3.63627 3.5035 0.5 7457.18
0 0 150 phononTS 0.00454528 1.27516 4.22744 0.428649 6701.03 0.00454528 1 10.8534 1.05342 0.5 15648
0 0 154 phononL 0.00345351 -1.69535 -1.69335 0.112141 2718.18 0.00345351 1 21.8825 2.60679 -0.5 26259.7
0 0 157 phononTF 0.00433741 -0.309496 -0.426534 0.0140609 477.156 0.00433741 1 -25.0768 -3.03864 0.5 31001.8
0 0 165 phononL 0.0030471 2.68458 -1.168 -0.119391 6634.22 0.0030471 1 4.77088 -5.85904 0.5 8088.17
0 0 164 phononTS 0.00399077 2.68458 -1.168 -0.119391 6634.22 0.00399077 1 3.39331 -2.4866 0.5 7010.61
0 0 167 phononTS 0.00554898 -0.41061 0.481283 0.112527 1177.57 0.00554898 1 1.86561 2.03242 -0.5 3686.65
0 0 170 phononTS 0.00179676 -0.946868 0.221178 -0.30166 8516.18 0.00179676 1 11.2017 33.5758 -0.5 31103.9
0 0 168 phononL 0.00294363 -0.674301 -1.89807 0.414151 7409.85 0.00294363 1 2.48212 3.91742 -0.5 9161.73
0 0 174 phononTF 0.00434551 -0.676697 0.508226 -0.273755 3015.65 0.00434551 1 4.15253 22.7555 0.5 13263.5
0 0 176 phononTS 0.00312496 1.03012 -0.0561306 -0.257767 247.5 0.00312496 1 -4.54086 -3.80004 0.5 3026.24
0 0 187 phononTS 0.00437703 1.31086 -6.37685 0.177489 10341.7 0.00437703 1 -13.7209 -11.9317 -0.5 29204.3
0 0 189 phononTF 0.00202851 -1.59759 0.208671 0.444425 3893.22 0.00202851 1 -20.6817 -32.4733 0.465798 12894.2
0 0 191 phononL 0.00245789 -9.26915 -8.52186 0.123926 25567.9 0.00245789 1 -9.74508 -7.3414 0.5 25967.2
0 0 190 phononTS 0.00164929 -9.26915 -8.52186 0.123926 25567.9 0.00164929 1 -37.8202 -7.20304 0.477137 50448.1
0 0 193 phononTS 0.00276288 -4.67201 -7.12083 -0.107887 20174.5 0.00276288 1 -25.9276 -3.8979 -0.5 54221.7
0 0 192 phononTF 0.00340062 -4.67201 -7.12083 -0.107887 20174.5 0.00340062 1 30.0325 -2.6315 -0.5 55959.1
0 0 197 phononTS 0.0061062 1.07036 0.254672 -0.247936 1242.2 0.0061062 1 0.392882 -5.90412 0.5 6271.49
0 0 199 phononTS 0.00136187 1.59914 5.35917 0.278432 10211.6 0.00136187 1 8.06844 24.5006 -0.5 30705.8
0 0 203 phononTS 0.00525076 1.45147 -0.459856 -0.342601 5645.46 0.00525076 1 9.91362 11.152 0.5 19758.9
0 0 202 phononTF 0.00270738 1.45147 -0.459856 -0.342601 5645.46 0.00270738 1 -7.38149 20.7851 -0.5 39819.2
0 0 211 phononTF 0.00371255 0.831754 0.908605 -0.461179 2697.94 0.00371255 1 11.7627 11.1924 0.5 21025.4
0 0 208 phononTF 0.00386119 0.379342 0.279045 0.0333587 2599.09 0.00386119 1 -2.62076 -0.310953 0.5 4826.71
0 0 206 phononL 0.00496477 0.138163 0.0478316 -0.0276244 218.994 0.00496477 1 -9.29515 -17.4161 -0.5 11101.3
0 0 213 phononTF 0.00492023 0.0152199 0.144903 -0.160693 143.73 0.00492023 1 5.46164 7.11934 -0.5 27992
0 0 215 phononL 0.00467272 1.24897 0.285881 -0.138758 10683.6 0.00467272 1 -2.06133 5.32557 -0.5 15300.3
0 0 214 phononTF 0.00208969 1.24897 0.285881 -0.138758 10683.6 0.00208969 1 -3.83366 -0.604178 0.5 18009.8
0 0 233 phononTF 0.00363195 3.59061 1.51217 0.344722 15756.1 0.00363195 1 15.3701 24.1206 -0.5 45221.4
0 0 232 phononL 0.00344384 3.59061 1.51217 0.344722 15756.1 0.00344384 1 1.61531 4.13893 -0.5 19371.7
0 0 230 phononTS 0.00390373 -0.227216 0.201682 0.175587 340.317 0.00390373 1 -5.98001 10.0178 -0.5 28989.1
0 0 235 phononTF 0.00311978 3.98844 2.31366 -0.0192837 5390.87 0.00311978 1 -33.7424 0.482378 0.5 15596.1
0 0 234 phononTS 0.00275997 3.98844 2.31366 -0.0192837 5390.87 0.00275997 1 3.94629 1.04987 0.5 5910.01
0 0 244 phononTF 0.00166539 -5.20359 6.9856 0.021692 11070.7 0.00166539 1 21.8136 3.94589 -0.5 28897.5
0 0 242 phononL 0.0035285 -2.0143 -0.211382 -0.376673 3536.26 0.0035285 1 -23.8412 13.4929 0.5 26239.1
0 0 240 phononTS 0.00427259 0.253038 -0.102025 -0.208717 578.413 0.00427259 1 -5.34717 4.09692 0.5 21493.1
