run event track particle energy deposit x y z t_i t_f volume
0 0 15 phononTS 0 0 35.8861 -0.0646134 -0.5 49130.4 49331.8 World
0 0 14 phononL 0 0 -35.1902 -1.23619 0.5 27693.3 27823.7 World
0 0 17 phononTF 0 0 25.1011 -1.10717 0.5 31571 31798.6 feed16
0 0 16 phononTF 0.00185965 0 16.1311 -15.6955 0.5 78250.7 78528 World
0 0 21 phononTF 0 0 -2.59814 -5.35046 0.5 6760.71 6943.28 kid_ind48
0 0 23 phononTF 0 0 -2.5465 10.4215 -0.5 7367.62 7575.86 World
0 0 22 phononTS 0 0 2.97248 21.7904 0.5 10526 10700.9 World
0 0 29 phononL 0 0 17.6629 7.54334 -0.5 45801.3 46081.7 World
0 0 28 phononTS 0 0 -9.60716 -19.4956 0.5 56954.6 57125.2 World
0 0 26 phononTS 0 0 4.07878 -16.5389 0.5 13967 14973.7 kid_ind68
0 0 31 phononL 0.00349807 0 9.89253 19.6641 -0.5 53949.3 54154 World
0 0 30 phononTF 0 0 5.42663 11.8273 -0.5 25834.3 25886 World
0 0 41 phononTS 0 0 -11.9016 -3.41638 0.5 22374 23332.1 World
0 0 40 phononTS 0 0 6.47902 24.0199 0.5 59261.9 59627.8 World
0 0 38 phononTF 0.00512058 0 -36.1822 -13.1568 0.38492 44065.9 44494.5 World
0 0 45 phononL 0 0 20.1418 24.3722 -0.5 32955.7 33024.4 World
0 0 44 phononTF 0 0 23.3401 -14.6356 0.5 49158.7 49812.2 World
0 0 47 phononL 0.00325739 0 -16.7091 -27.2411 0.5 50118.1 50266.1 World
0 0 46 phononTF 0 0 -5.10238 7.0777 -0.5 51091 51351.7 World
0 0 49 phononTS 0 0 5.85673 -6.74976 0.5 26070.9 26110.6 World
0 0 51 phononL 0 0 -35.4626 1.85501 -0.5 37859.1 38017.1 World
0 0 50 phononTS 0.00182319 0 -14.6395 -18.4311 -0.5 96085.7 96256.7 World
0 0 57 phononL 0 0 0.0238537 -5.03445 -0.5 13743.8 13903.5 World
0 0 56 phononTF 0 0 3.64134 -3.68038 0.5 13152.2 13509.8 feed10
0 0 54 phononTF 0 0 -8.89022 3.13174 -0.5 7656.24 7918.1 World
0 0 59 phononL 0 0 -3.5383 1.04839 -0.5 2135.79 2312.1 World
0 0 58 phononTS 0.00482753 0 5.19596 -28.8389 -0.5 35748.5 35905.2 World
0 0 73 phononL 0 0 3.4571 10.6482 -0.5 18128.6 18262.3 World
0 0 72 phononTF 0 0 18.0123 22.3517 0.5 43936.6 44118.8 feed14
0 0 70 phononTF 0 0 3.2165 -1.48273 -0.5 8053.8 8093.76 World
0 0 75 phononTF 0 0 10.9556 -0.642608 -0.5 39494.6 39958.1 World
0 0 74 phononTF 0 0 6.27486 -2.52576 -0.5 35633.8 35813 World
0 0 79 phononTF 0 0 -10.7373 6.20755 -0.5 22436.2 22607.9 World
0 0 78 phononTS 0 0 21.4928 11.5014 -0.5 28161.6 28541.8 World
0 0 81 phononTS 0 0 -6.24789 -2.33935 0.5 22539.2 22628.4 World
0 0 80 phononTF 0 0 -3.13108 10.5917 0.5 27897.3 28157.5 kid_ind20
0 0 83 phononTS 0 0 -18.1035 12.3315 0.5 25563.6 25767.3 World
0 0 85 phononL 0 0 8.25417 -8.44661 0.5 34848 34858.7 World
0 0 84 phononTF 0 0 9.5128 -8.96661 -0.5 36064.1 36261 World
0 0 89 phononTF 0 0 -3.49788 -3.25703 0.5 5537.98 5799.21 feed8
0 0 91 phononL 0 0 -8.08342 23.2377 0.5 69897.2 70040.2 World
0 0 90 phononTF 0 0 -0.918702 11.8858 -0.5 33173 35020.1 World
0 0 95 phononTS 0.00342588 0 -30.5525 2.37156 0.5 43857.7 44371 World
0 0 94 phononTS 0.00260384 0 -8.79698 24.5737 -0.5 52075.4 52247.4 World
0 0 92 phononTS 0 0 -0.293145 0.113752 0.5 494.651 599.394 World
0 0 107 phononTF 0 0 -11.1473 -2.06224 0.5 22641.1 22836.8 World
0 0 106 phononTS 0 0 -10.1895 4.88834 0.5 12054.2 12282 feed_kid_lower49
0 0 104 phononTS 0 0 1.9224 -20.7283 -0.5 14687.3 14965.6 World
0 0 102 phononTS 0 0 -38.2841 4.07204 -0.109614 45244.9 45407.5 World
0 0 113 phononL 0 0 14.3312 11.1113 0.5 8766.64 8954.28 World
0 0 112 phononTS 0 0 -9.06653 -12.53 -0.5 22785.4 22908.6 World
0 0 110 phononTS 0.0040952 0 -7.92501 11.6943 0.5 42592 42790.3 World
0 0 108 phononTF 0 0 -4.89507 3.55721 -0.5 30580.4 30664.9 World
0 0 117 phononTS 0 0 -1.7517 -0.766995 0.5 5209.97 5442.77 World
0 0 116 phononL 0 0 4.85127 4.88852 0.5 20988.7 21039.2 feed_kid_lower51
0 0 119 phononTF 0.00308272 0 1.19841 10.647 0.5 46276.6 46456.8 World
0 0 118 phononTS 0 0 18.0081 -30.963 -0.5 26183.9 26607.7 World
0 0 127 phononTS 0 0 0.248883 1.85123 -0.5 8869.29 8901.43 World
0 0 126 phononTF 0.00313002 0 -12.3875 -23.705 0.5 37983.5 38393.6 World
0 0 124 phononTF 0 0 -25.163 8.77317 0.5 40936.6 41117.8 feed2
0 0 129 phononTS 0 0 5.40731 16.7299 0.5 31961.1 32142.7 kid_cap15
0 0 128 phononTS 0 0 -1.57704 -0.0477422 0.5 12266.1 12592.8 feed_kid_right40
0 0 133 phononTS 0.00508391 0 -17.1327 4.31091 -0.5 39839.6 39920.3 World
0 0 132 phononTS 0 0 2.20307 -2.19337 -0.5 10489 10510.7 World
0 0 130 phononTS 0.00205034 0 25.5073 13.0594 -0.5 53109.1 53280.1 World
0 0 145 phononTS 0 0 22.8551 -11.1229 -0.5 39551.6 39807.1 World
0 0 144 phononTF 0 0 6.80113 -5.58275 0.5 34162.6 34350.9 World
0 0 147 phononTF 0 0 20.5727 11.5399 0.5 15347.5 15555.2 World
0 0 146 phononL 0 0 4.61045 5.7856 -0.5 15691.5 15850.4 World
0 0 149 phononTF 0 0 -1.1156 3.18871 -0.5 6214.51 6218.96 World
0 0 151 phononTS 0 0 3.63627 3.5035 0.5 7280.86 7457.18 feed10
0 0 150 phononTS 0 0 10.8534 1.05342 0.5 15472.1 15648 feed12
0 0 155 phononTF 0.00339152 0 1.6892 38.4629 -0.17492 38151.5 39067.4 World
0 0 154 phononL 0 0 21.8825 2.60679 -0.5 26083.8 26259.7 World
0 0 157 phononTF 0 0 -25.0768 -3.03864 0.5 30916.2 31001.8 feed2
0 0 156 phononL 0.00342043 0 -18.2849 23.7242 -0.5 31583.2 31725.2 World
0 0 165 phononL 0 0 4.77088 -5.85904 0.5 7939.94 8088.17 kid_ind49
0 0 164 phononTS 0 0 3.39331 -2.4866 0.5 6737.29 7010.61 World
0 0 162 phononL 0.0017804 0 26.7769 11.3677 0.5 31868.8 32025.3 World
0 0 167 phononTS 0 0 1.86561 2.03242 -0.5 3664.31 3686.65 World
0 0 171 phononL 0.0026777 0 28.1425 18.4464 0.5 52625.9 52782.1 World
0 0 170 phononTS 0 0 11.2017 33.5758 -0.5 30892 31103.9 World
0 0 168 phononL 0 0 2.48212 3.91742 -0.5 9027.85 9161.73 World
0 0 175 phononL 0.00435339 0 34.9364 -14.1388 0.5 46774.5 46798.1 World
0 0 174 phononTF 0 0 4.15253 22.7555 0.5 13199.7 13263.5 feed_kid_upper71
0 0 177 phononTS 0.00447263 0 -0.00514715 17.3226 0.5 37673.9 37848.3 World
0 0 176 phononTS 0 0 -4.54086 -3.80004 0.5 2258.62 3026.24 World
0 0 187 phononTS 0 0 -13.7209 -11.9317 -0.5 29018.3 29204.3 World
0 0 186 phononTF 0.00236088 0 -17.3694 -15.6377 -0.5 44925.5 45159.8 World
0 0 189 phononTF 0 0 -20.6817 -32.4733 0.465798 12825.5 12894.2 World
0 0 191 phononL 0 0 -9.74508 -7.3414 0.5 25833.3 25967.2 World
0 0 190 phononTS 0 0 -37.8202 -7.20304 0.477137 50438.1 50448.1 World
0 0 193 phononTS 0 0 -25.9276 -3.8979 -0.5 53921.7 54221.7 World
0 0 192 phononTF 0 0 30.0325 -2.6315 -0.5 55958.1 55959.1 World
0 0 197 phononTS 0 0 0.392882 -5.90412 0.5 6189.5 6271.49 World
0 0 199 phononTS 0 0 8.06844 24.5006 -0.5 30355.2 30705.8 World
0 0 198 phononTF 0.00343128 0 20.7665 -10.8274 0.5 43994.1 44085.4 World
0 0 201 phononTF 0.00347568 0 20.8323 -29.0184 0.5 39952.4 40124.3 World
0 0 203 phononTS 0 0 9.91362 11.152 0.5 19539.7 19758.9 World
0 0 202 phononTF 0 0 -7.38149 20.7851 -0.5 39631.3 39819.2 World
0 0 211 phononTF 0 0 11.7627 11.1924 0.5 20799.7 21025.4 kid_ind22
0 0 210 phononTF 0.00185337 0 11.488 25.3628 0.5 55444.1 55755.2 World
0 0 208 phononTF 0 0 -2.62076 -0.310953 0.5 4652.26 4826.71 kid_ind38
0 0 206 phononL 0 0 -9.29515 -17.4161 -0.5 10940.8 11101.3 World
0 0 213 phononTF 0 0 5.46164 7.11934 -0.5 27709.9 27992 World
0 0 215 phononL 0 0 -2.06133 5.32557 -0.5 15143.5 15300.3 World
0 0 214 phononTF 0 0 -3.83366 -0.604178 0.5 17821.6 18009.8 World
0 0 233 phononTF 0 0 15.3701 24.1206 -0.5 45044.9 45221.4 World
0 0 232 phononL 0 0 1.61531 4.13893 -0.5 19210 19371.7 World
0 0 230 phononTS 0 0 -5.98001 10.0178 -0.5 28014.3 28989.1 World
0 0 235 phononTF 0 0 -33.7424 0.482378 0.5 15118.6 15596.1 World
0 0 234 phononTS 0 0 3.94629 1.04987 0.5 5595.48 5910.01 World
0 0 226 phononTS 0.00205648 0 -12.7084 21.1314 0.5 62570.1 62904.7 World
0 0 245 phononL 0.00316546 0 -15.5464 30.7922 -0.5 54170.2 54342.8 World
0 0 244 phononTF 0 0 21.8136 3.94589 -0.5 28710.9 28897.5 World
0 0 242 phononL 0 0 -23.8412 13.4929 0.5 26224.1 26239.1 World
0 0 240 phononTS 0 0 -5.34717 4.09692 0.5 20851.7 21493.1 World
0 0 247 phononTF 0 0 0.34153 -0.470422 0.5 1143.41 1165.68 World
0 0 249 phononTS 0 0 -10.7855 -7.81517 0.5 28683.5 28866.2 feed6
0 0 248 phononTS 0 0 -9.63713 -5.87862 0.5 8252.71 8302.25 kid_ind47
0 0 253 phononTS 0 0 -7.23669 -16.4838 0.5 22740.1 22743.1 World
0 0 252 phononTS 0 0 0.883252 4.4784 0.5 7875.95 7937.35 World
0 0 250 phononTF 0 0 -3.52458 -16.4194 -0.5 12330.7 12511.7 World
0 0 261 phononTF 0 0 0.78357 2.66892 -0.5 6745.14 6748.71 World
0 0 260 phononTS 0.00175774 0 -20.3919 25.9632 0.5 52561.8 52696.2 World
0 0 263 phononTS 0 0 -8.04069 -0.438152 0.5 23920.3 23960.2 World
0 0 262 phononTS 0 0 -17.0926 -16.3735 -0.5 26999.6 27185.5 World
0 0 269 phononTS 0.00604413 0 -1.63581 -5.56669 0.5 39200.1 39228.8 feed_kid_right30
0 0 271 phononTS 0 0 5.21326 2.17371 0.5 9837.26 10231.5 World
0 0 270 phononL 0 0 13.2807 -16.0625 -0.5 38482 38634.5 World
0 0 266 phononTS 0 0 -10.5591 5.43926 0.5 39461.3 39481.8 kid_ind27
0 0 264 phononTS 0 0 0.165564 0.203504 -0.5 254.072 284.634 World
0 0 254 phononL 0 0 -0.783465 -0.807618 0.5 929.253 941.834 World
